"","OTU","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1414","ASV104",0.0645150271400345,0.258598838303159,0.799242005151657,16,-0.414850396667487,0.515847698244373,"Pearson's product-moment correlation","two.sided"
"1415","ASV946",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1416","ASV639",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1417","ASV1538",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1418","ASV697",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1419","ASV1779",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1420","ASV227",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"1421","ASV535",0.132299194430837,0.533889760539675,0.600757398598961,16,-0.356596616496572,0.564313574158586,"Pearson's product-moment correlation","two.sided"
"1422","ASV1673",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1423","ASV252",0.585397927628048,2.88819355558784,0.0106999195345516,16,0.163105315215781,0.826407018265484,"Pearson's product-moment correlation","two.sided"
"1424","ASV445",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1425","ASV1574",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"1426","ASV404",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1427","ASV1217",-0.120443017699408,-0.485304973410933,0.634038183176906,16,-0.556045938439799,0.367067729768393,"Pearson's product-moment correlation","two.sided"
"1428","ASV1160",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1429","ASV64",-0.166413944838811,-0.675068953221192,0.509270653443799,16,-0.587628956141802,0.325766099380954,"Pearson's product-moment correlation","two.sided"
"1430","ASV1368",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1431","ASV359",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1432","ASV248",0.2465765351001,1.01773027073666,0.323949548188722,16,-0.248952785312574,0.639794028739709,"Pearson's product-moment correlation","two.sided"
"1433","ASV295",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1434","ASV1659",-0.224204038804215,-0.920243507045297,0.371112528721431,16,-0.625590911709141,0.271036557819713,"Pearson's product-moment correlation","two.sided"
"1435","ASV468",0.2465765351001,1.01773027073666,0.323949548188722,16,-0.248952785312574,0.639794028739709,"Pearson's product-moment correlation","two.sided"
"1436","ASV1366",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1437","ASV816",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1438","ASV536",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1439","ASV820",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1440","ASV293",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1441","ASV565",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1442","ASV1792",0.28892224784522,1.20717177036861,0.244910066958456,16,-0.205693670408537,0.665961359089072,"Pearson's product-moment correlation","two.sided"
"1443","ASV1462",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1444","ASV1575",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1445","ASV1705",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1446","ASV621",0.132299194430837,0.533889760539675,0.600757398598961,16,-0.356596616496572,0.564313574158586,"Pearson's product-moment correlation","two.sided"
"1447","ASV1224",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1448","ASV1041",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1449","ASV1003",0.132299194430837,0.533889760539675,0.600757398598961,16,-0.356596616496572,0.564313574158586,"Pearson's product-moment correlation","two.sided"
"1450","ASV444",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1451","ASV941",0.17073793211412,0.693129309069039,0.498167239203061,16,-0.321782181463165,0.590535023493645,"Pearson's product-moment correlation","two.sided"
"1452","ASV386",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1453","ASV347",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1454","ASV948",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
